Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",129.794000,-75.692000,180.000000,bottom
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",145.034000,-75.692000,180.000000,bottom
